District,Crop,Year,Season,Total_Rainfall_mm,Average_Temp_C,Yield_KG_HA
Bugesera,Banana for beer,2015,Season A,553.0,21.2414364640884,9423.26
Bugesera,Banana for beer,2015,Season B,335.0,21.378260869565217,7597.99
Bugesera,Banana for beer,2016,Season A,465.6,21.58543956043956,8680.16
Bugesera,Banana for beer,2016,Season B,281.9,21.78016304347826,6876.59
Bugesera,Banana for beer,2017,Season A,356.3,21.78977900552486,7579.94
Bugesera,Banana for beer,2017,Season B,268.8,21.27907608695652,7017.69
Bugesera,Banana for beer,2018,Season A,365.0,21.24723756906077,7969.79
Bugesera,Banana for beer,2018,Season B,525.0,20.205434782608695,10213.26
Bugesera,Banana for beer,2019,Season A,567.6,21.348342541436462,9284.23
Bugesera,Banana for beer,2019,Season B,281.2,21.39646739130435,7031.28
Bugesera,Banana for beer,2020,Season A,536.9,21.3456043956044,9328.1
Bugesera,Banana for beer,2020,Season B,397.7,21.37092391304348,8433.85
Bugesera,Banana for beer,2021,Season A,491.3,21.377348066298342,8974.64
Bugesera,Banana for beer,2021,Season B,318.7,20.65217391304348,7953.02
Bugesera,Bananas,2015,Season A,553.0,21.2414364640884,11229.14
Bugesera,Bananas,2015,Season B,335.0,21.378260869565217,9358.05
Bugesera,Bananas,2016,Season A,465.6,21.58543956043956,10274.19
Bugesera,Bananas,2016,Season B,281.9,21.78016304347826,8485.94
Bugesera,Bananas,2017,Season A,356.3,21.78977900552486,9124.7
Bugesera,Bananas,2017,Season B,268.8,21.27907608695652,8757.51
Bugesera,Bananas,2018,Season A,365.0,21.24723756906077,9865.2
Bugesera,Bananas,2018,Season B,525.0,20.205434782608695,12722.33
Bugesera,Bananas,2019,Season A,567.6,21.348342541436462,11417.86
Bugesera,Bananas,2019,Season B,281.2,21.39646739130435,8733.54
Bugesera,Bananas,2020,Season A,536.9,21.3456043956044,10956.91
Bugesera,Bananas,2020,Season B,397.7,21.37092391304348,10323.78
Bugesera,Bananas,2021,Season A,491.3,21.377348066298342,10605.95
Bugesera,Bananas,2021,Season B,318.7,20.65217391304348,9756.56
Bugesera,Beans,2015,Season B,335.0,21.378260869565217,643.86
Bugesera,Beans,2016,Season B,281.9,21.78016304347826,595.22
Bugesera,Beans,2017,Season B,268.8,21.27907608695652,589.99
Bugesera,Beans,2018,Season B,525.0,20.205434782608695,880.74
Bugesera,Beans,2019,Season B,281.2,21.39646739130435,609.75
Bugesera,Beans,2020,Season B,397.7,21.37092391304348,706.61
Bugesera,Beans,2021,Season B,318.7,20.65217391304348,675.23
Bugesera,Bush bean,2015,Season A,553.0,21.2414364640884,748.65
Bugesera,Bush bean,2015,Season B,335.0,21.378260869565217,643.29
Bugesera,Bush bean,2016,Season A,465.6,21.58543956043956,667.04
Bugesera,Bush bean,2016,Season B,281.9,21.78016304347826,588.2
Bugesera,Bush bean,2017,Season A,356.3,21.78977900552486,607.21
Bugesera,Bush bean,2017,Season B,268.8,21.27907608695652,598.47
Bugesera,Bush bean,2018,Season A,365.0,21.24723756906077,624.2
Bugesera,Bush bean,2018,Season B,525.0,20.205434782608695,875.54
Bugesera,Bush bean,2019,Season A,567.6,21.348342541436462,733.23
Bugesera,Bush bean,2019,Season B,281.2,21.39646739130435,616.74
Bugesera,Bush bean,2020,Season A,536.9,21.3456043956044,731.05
Bugesera,Bush bean,2020,Season B,397.7,21.37092391304348,704.81
Bugesera,Bush bean,2021,Season A,491.3,21.377348066298342,696.05
Bugesera,Bush bean,2021,Season B,318.7,20.65217391304348,666.46
Bugesera,Cassava,2015,Season A,553.0,21.2414364640884,18284.61
Bugesera,Cassava,2015,Season B,335.0,21.378260869565217,16466.32
Bugesera,Cassava,2016,Season A,465.6,21.58543956043956,16720.31
Bugesera,Cassava,2016,Season B,281.9,21.78016304347826,14902.85
Bugesera,Cassava,2017,Season A,356.3,21.78977900552486,14899.18
Bugesera,Cassava,2017,Season B,268.8,21.27907608695652,15110.38
Bugesera,Cassava,2018,Season A,365.0,21.24723756906077,15233.57
Bugesera,Cassava,2018,Season B,525.0,20.205434782608695,22473.35
Bugesera,Cassava,2019,Season A,567.6,21.348342541436462,17809.1
Bugesera,Cassava,2019,Season B,281.2,21.39646739130435,15243.99
Bugesera,Cassava,2020,Season A,536.9,21.3456043956044,17572.1
Bugesera,Cassava,2020,Season B,397.7,21.37092391304348,18163.48
Bugesera,Cassava,2021,Season A,491.3,21.377348066298342,17198.53
Bugesera,Cassava,2021,Season B,318.7,20.65217391304348,17087.06
Bugesera,Climbing bean,2015,Season A,553.0,21.2414364640884,611.47
Bugesera,Climbing bean,2015,Season B,335.0,21.378260869565217,682.24
Bugesera,Climbing bean,2016,Season A,465.6,21.58543956043956,562.07
Bugesera,Climbing bean,2016,Season B,281.9,21.78016304347826,618.93
Bugesera,Climbing bean,2017,Season A,356.3,21.78977900552486,504.29
Bugesera,Climbing bean,2017,Season B,268.8,21.27907608695652,629.87
Bugesera,Climbing bean,2018,Season A,365.0,21.24723756906077,523.85
Bugesera,Climbing bean,2018,Season B,525.0,20.205434782608695,939.56
Bugesera,Climbing bean,2019,Season A,567.6,21.348342541436462,620.7
Bugesera,Climbing bean,2019,Season B,281.2,21.39646739130435,658.43
Bugesera,Climbing bean,2020,Season A,536.9,21.3456043956044,591.48
Bugesera,Climbing bean,2020,Season B,397.7,21.37092391304348,754.66
Bugesera,Climbing bean,2021,Season A,491.3,21.377348066298342,564.71
Bugesera,Climbing bean,2021,Season B,318.7,20.65217391304348,723.73
Bugesera,Cooking Banana,2015,Season A,553.0,21.2414364640884,14956.11
Bugesera,Cooking Banana,2015,Season B,335.0,21.378260869565217,13073.81
Bugesera,Cooking Banana,2016,Season A,465.6,21.58543956043956,13664.12
Bugesera,Cooking Banana,2016,Season B,281.9,21.78016304347826,11889.25
Bugesera,Cooking Banana,2017,Season A,356.3,21.78977900552486,12403.46
Bugesera,Cooking Banana,2017,Season B,268.8,21.27907608695652,12146.44
Bugesera,Cooking Banana,2018,Season A,365.0,21.24723756906077,12804.42
Bugesera,Cooking Banana,2018,Season B,525.0,20.205434782608695,17688.39
Bugesera,Cooking Banana,2019,Season A,567.6,21.348342541436462,14918.32
Bugesera,Cooking Banana,2019,Season B,281.2,21.39646739130435,12326.87
Bugesera,Cooking Banana,2020,Season A,536.9,21.3456043956044,14794.35
Bugesera,Cooking Banana,2020,Season B,397.7,21.37092391304348,14549.75
Bugesera,Cooking Banana,2021,Season A,491.3,21.377348066298342,14371.52
Bugesera,Cooking Banana,2021,Season B,318.7,20.65217391304348,13801.97
Bugesera,Dessert banana,2015,Season A,553.0,21.2414364640884,8151.98
Bugesera,Dessert banana,2015,Season B,335.0,21.378260869565217,11663.19
Bugesera,Dessert banana,2016,Season A,465.6,21.58543956043956,7329.05
Bugesera,Dessert banana,2016,Season B,281.9,21.78016304347826,10692.19
Bugesera,Dessert banana,2017,Season A,356.3,21.78977900552486,6748.74
Bugesera,Dessert banana,2017,Season B,268.8,21.27907608695652,10951.32
Bugesera,Dessert banana,2018,Season A,365.0,21.24723756906077,7081.63
Bugesera,Dessert banana,2018,Season B,525.0,20.205434782608695,15922.56
Bugesera,Dessert banana,2019,Season A,567.6,21.348342541436462,8311.36
Bugesera,Dessert banana,2019,Season B,281.2,21.39646739130435,11176.7
Bugesera,Dessert banana,2020,Season A,536.9,21.3456043956044,8046.91
Bugesera,Dessert banana,2020,Season B,397.7,21.37092391304348,12803.14
Bugesera,Dessert banana,2021,Season A,491.3,21.377348066298342,7691.79
Bugesera,Dessert banana,2021,Season B,318.7,20.65217391304348,12290.09
Bugesera,Ground nuts,2015,Season A,553.0,21.2414364640884,391.72
Bugesera,Ground nuts,2015,Season B,335.0,21.378260869565217,474.43
