District,Crop,Year,Season,Total_Rainfall_mm,Average_Temp_C,Mean_NDVI,Yield_KG_HA
Bugesera,Banana for beer,2015,Season A,553.0,21.2414364640884,0.5452,9389.07
Bugesera,Banana for beer,2015,Season B,335.0,21.378260869565217,0.532,7924.7
Bugesera,Banana for beer,2016,Season A,465.6,21.58543956043956,0.5365,9004.56
Bugesera,Banana for beer,2016,Season B,281.9,21.78016304347826,0.5149,7329.19
Bugesera,Banana for beer,2017,Season A,356.3,21.78977900552486,0.503,7925.06
Bugesera,Banana for beer,2017,Season B,268.8,21.27907608695652,0.4912,7202.79
Bugesera,Banana for beer,2018,Season A,365.0,21.24723756906077,0.5038,8432.99
Bugesera,Banana for beer,2018,Season B,525.0,20.205434782608695,0.5423,9536.1
Bugesera,Banana for beer,2019,Season A,567.6,21.348342541436462,0.514,9125.16
Bugesera,Banana for beer,2019,Season B,281.2,21.39646739130435,0.4911,7207.09
Bugesera,Banana for beer,2020,Season A,536.9,21.3456043956044,0.5121,8976.68
Bugesera,Banana for beer,2020,Season B,397.7,21.37092391304348,0.4963,7902.17
Bugesera,Banana for beer,2021,Season A,491.3,21.377348066298342,0.5188,9025.36
Bugesera,Banana for beer,2021,Season B,318.7,20.65217391304348,0.5121,7850.94
Bugesera,Bananas,2015,Season A,553.0,21.2414364640884,0.5452,11410.27
Bugesera,Bananas,2015,Season B,335.0,21.378260869565217,0.532,9777.67
Bugesera,Bananas,2016,Season A,465.6,21.58543956043956,0.5365,10609.55
Bugesera,Bananas,2016,Season B,281.9,21.78016304347826,0.5149,8918.8
Bugesera,Bananas,2017,Season A,356.3,21.78977900552486,0.503,9535.65
Bugesera,Bananas,2017,Season B,268.8,21.27907608695652,0.4912,8906.69
Bugesera,Bananas,2018,Season A,365.0,21.24723756906077,0.5038,9897.3
Bugesera,Bananas,2018,Season B,525.0,20.205434782608695,0.5423,11634.92
Bugesera,Bananas,2019,Season A,567.6,21.348342541436462,0.514,10805.42
Bugesera,Bananas,2019,Season B,281.2,21.39646739130435,0.4911,8953.54
Bugesera,Bananas,2020,Season A,536.9,21.3456043956044,0.5121,10927.03
Bugesera,Bananas,2020,Season B,397.7,21.37092391304348,0.4963,9796.57
Bugesera,Bananas,2021,Season A,491.3,21.377348066298342,0.5188,10824.47
Bugesera,Bananas,2021,Season B,318.7,20.65217391304348,0.5121,9897.5
Bugesera,Beans,2015,Season B,335.0,21.378260869565217,0.532,685.7
Bugesera,Beans,2016,Season B,281.9,21.78016304347826,0.5149,634.4
Bugesera,Beans,2017,Season B,268.8,21.27907608695652,0.4912,603.28
Bugesera,Beans,2018,Season B,525.0,20.205434782608695,0.5423,804.58
Bugesera,Beans,2019,Season B,281.2,21.39646739130435,0.4911,620.95
Bugesera,Beans,2020,Season B,397.7,21.37092391304348,0.4963,662.14
Bugesera,Beans,2021,Season B,318.7,20.65217391304348,0.5121,667.54
Bugesera,Bush bean,2015,Season A,553.0,21.2414364640884,0.5452,741.72
Bugesera,Bush bean,2015,Season B,335.0,21.378260869565217,0.532,662.96
Bugesera,Bush bean,2016,Season A,465.6,21.58543956043956,0.5365,701.11
Bugesera,Bush bean,2016,Season B,281.9,21.78016304347826,0.5149,617.79
Bugesera,Bush bean,2017,Season A,356.3,21.78977900552486,0.503,641.74
Bugesera,Bush bean,2017,Season B,268.8,21.27907608695652,0.4912,624.08
Bugesera,Bush bean,2018,Season A,365.0,21.24723756906077,0.5038,643.93
Bugesera,Bush bean,2018,Season B,525.0,20.205434782608695,0.5423,796.65
Bugesera,Bush bean,2019,Season A,567.6,21.348342541436462,0.514,710.36
Bugesera,Bush bean,2019,Season B,281.2,21.39646739130435,0.4911,623.5
Bugesera,Bush bean,2020,Season A,536.9,21.3456043956044,0.5121,701.47
Bugesera,Bush bean,2020,Season B,397.7,21.37092391304348,0.4963,678.97
Bugesera,Bush bean,2021,Season A,491.3,21.377348066298342,0.5188,683.12
Bugesera,Bush bean,2021,Season B,318.7,20.65217391304348,0.5121,675.43
Bugesera,Cassava,2015,Season A,553.0,21.2414364640884,0.5452,17951.05
Bugesera,Cassava,2015,Season B,335.0,21.378260869565217,0.532,17303.89
Bugesera,Cassava,2016,Season A,465.6,21.58543956043956,0.5365,17171.07
Bugesera,Cassava,2016,Season B,281.9,21.78016304347826,0.5149,15714.95
Bugesera,Cassava,2017,Season A,356.3,21.78977900552486,0.503,15529.39
Bugesera,Cassava,2017,Season B,268.8,21.27907608695652,0.4912,15615.76
Bugesera,Cassava,2018,Season A,365.0,21.24723756906077,0.5038,15731.06
Bugesera,Cassava,2018,Season B,525.0,20.205434782608695,0.5423,20175.4
Bugesera,Cassava,2019,Season A,567.6,21.348342541436462,0.514,17391.24
Bugesera,Cassava,2019,Season B,281.2,21.39646739130435,0.4911,15740.16
Bugesera,Cassava,2020,Season A,536.9,21.3456043956044,0.5121,17577.29
Bugesera,Cassava,2020,Season B,397.7,21.37092391304348,0.4963,17225.31
Bugesera,Cassava,2021,Season A,491.3,21.377348066298342,0.5188,17152.25
Bugesera,Cassava,2021,Season B,318.7,20.65217391304348,0.5121,17448.46
Bugesera,Climbing bean,2015,Season A,553.0,21.2414364640884,0.5452,619.2
Bugesera,Climbing bean,2015,Season B,335.0,21.378260869565217,0.532,725.63
Bugesera,Climbing bean,2016,Season A,465.6,21.58543956043956,0.5365,572.45
Bugesera,Climbing bean,2016,Season B,281.9,21.78016304347826,0.5149,659.52
Bugesera,Climbing bean,2017,Season A,356.3,21.78977900552486,0.503,509.34
Bugesera,Climbing bean,2017,Season B,268.8,21.27907608695652,0.4912,658.84
Bugesera,Climbing bean,2018,Season A,365.0,21.24723756906077,0.5038,531.31
Bugesera,Climbing bean,2018,Season B,525.0,20.205434782608695,0.5423,858.72
Bugesera,Climbing bean,2019,Season A,567.6,21.348342541436462,0.514,585.31
Bugesera,Climbing bean,2019,Season B,281.2,21.39646739130435,0.4911,650.6
Bugesera,Climbing bean,2020,Season A,536.9,21.3456043956044,0.5121,573.05
Bugesera,Climbing bean,2020,Season B,397.7,21.37092391304348,0.4963,717.95
Bugesera,Climbing bean,2021,Season A,491.3,21.377348066298342,0.5188,574.37
Bugesera,Climbing bean,2021,Season B,318.7,20.65217391304348,0.5121,731.52
Bugesera,Cooking Banana,2015,Season A,553.0,21.2414364640884,0.5452,15213.86
Bugesera,Cooking Banana,2015,Season B,335.0,21.378260869565217,0.532,13881.59
Bugesera,Cooking Banana,2016,Season A,465.6,21.58543956043956,0.5365,14194.12
Bugesera,Cooking Banana,2016,Season B,281.9,21.78016304347826,0.5149,12728.82
Bugesera,Cooking Banana,2017,Season A,356.3,21.78977900552486,0.503,13150.32
Bugesera,Cooking Banana,2017,Season B,268.8,21.27907608695652,0.4912,12501.51
Bugesera,Cooking Banana,2018,Season A,365.0,21.24723756906077,0.5038,13420.53
Bugesera,Cooking Banana,2018,Season B,525.0,20.205434782608695,0.5423,16597.8
Bugesera,Cooking Banana,2019,Season A,567.6,21.348342541436462,0.514,14639.07
Bugesera,Cooking Banana,2019,Season B,281.2,21.39646739130435,0.4911,12875.52
Bugesera,Cooking Banana,2020,Season A,536.9,21.3456043956044,0.5121,14102.42
Bugesera,Cooking Banana,2020,Season B,397.7,21.37092391304348,0.4963,13929.35
Bugesera,Cooking Banana,2021,Season A,491.3,21.377348066298342,0.5188,13963.45
Bugesera,Cooking Banana,2021,Season B,318.7,20.65217391304348,0.5121,13979.82
Bugesera,Dessert banana,2015,Season A,553.0,21.2414364640884,0.5452,8290.95
Bugesera,Dessert banana,2015,Season B,335.0,21.378260869565217,0.532,12459.54
Bugesera,Dessert banana,2016,Season A,465.6,21.58543956043956,0.5365,7825.88
Bugesera,Dessert banana,2016,Season B,281.9,21.78016304347826,0.5149,11344.12
